1:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:33:09 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.357,0.225,4.46754e-05,
0.358,0.225,4.26146e-05,
0.359,0.225,4.06489e-05,
0.36,0.225,3.87739e-05,
0.361,0.225,3.69855e-05,
0.362,0.225,3.52795e-05,
0.363,0.225,3.36524e-05,
0.364,0.225,3.21003e-05,
0.365,0.225,3.06199e-05,
0.366,0.225,2.92079e-05,
0.367,0.225,2.7861e-05,
0.368,0.225,2.65763e-05,
0.369,0.225,2.5351e-05,
0.37,0.225,2.41821e-05,
0.371,0.225,2.30673e-05,
0.372,0.225,2.2004e-05,
0.373,0.225,2.09898e-05,
0.374,0.225,2.00223e-05,
0.375,0.225,1.90996e-05,
0.376,0.225,1.82195e-05,
0.377,0.225,1.738e-05,
0.378,0.225,1.65793e-05,
0.379,0.225,1.58155e-05,
0.38,0.225,1.5087e-05,
0.381,0.225,1.43922e-05,
0.382,0.225,1.37294e-05,
0.383,0.225,1.30973e-05,
0.384,0.225,1.24943e-05,
0.385,0.225,1.19192e-05,
0.386,0.225,1.13706e-05,
0.387,0.225,1.08473e-05,
0.388,0.225,1.03482e-05,
0.389,0.225,9.87215e-06,
0.39,0.225,9.41803e-06,
0.391,0.225,8.9849e-06,
0.392,0.225,8.57173e-06,
0.393,0.225,8.17765e-06,
0.394,0.225,7.80173e-06,
0.395,0.225,7.44317e-06,
0.396,0.225,7.10114e-06,
0.397,0.225,6.7749e-06,
0.398,0.225,6.46368e-06,
0.399,0.225,6.16684e-06,
0.4,0.225,5.88367e-06,
0.401,0.225,5.61356e-06,
0.402,0.225,5.3559e-06,
0.403,0.225,5.11012e-06,
0.404,0.225,4.87566e-06,
0.405,0.225,4.65202e-06,
0.406,0.225,4.43867e-06,
0.407,0.225,4.23516e-06,
0.408,0.225,4.04101e-06,
0.409,0.225,3.85581e-06,
0.41,0.225,3.67914e-06,
0.411,0.225,3.5106e-06,
0.412,0.225,3.34982e-06,
0.413,0.225,3.19645e-06,
0.414,0.225,3.05012e-06,
0.415,0.225,2.91054e-06,
0.416,0.225,2.77737e-06,
0.417,0.225,2.65033e-06,
0.418,0.225,2.52913e-06,
0.419,0.225,2.41351e-06,
0.42,0.225,2.3032e-06,
0.421,0.225,2.19796e-06,
0.422,0.225,2.09756e-06,
0.423,0.225,2.00177e-06,
0.424,0.225,1.91038e-06,
0.425,0.225,1.8232e-06,
0.426,0.225,1.74001e-06,
0.427,0.225,1.66064e-06,
0.428,0.225,1.58492e-06,
0.429,0.225,1.51267e-06,
0.43,0.225,1.44374e-06,
0.431,0.225,1.37797e-06,
0.432,0.225,1.31522e-06,
0.433,0.225,1.25534e-06,
0.434,0.225,1.19821e-06,
0.435,0.225,1.1437e-06,
0.436,0.225,1.09169e-06,
0.437,0.225,1.04206e-06,
0.438,0.225,9.94704e-07,
0.439,0.225,9.49518e-07,
0.44,0.225,9.064e-07,
0.441,0.225,8.65258e-07,
0.442,0.225,8.25997e-07,
0.443,0.225,7.88534e-07,
0.444,0.225,7.52784e-07,
0.445,0.225,7.18671e-07,
0.446,0.225,6.86116e-07,
0.447,0.225,6.55052e-07,
0.448,0.225,6.25406e-07,
0.449,0.225,5.97116e-07
