36:*******************************************,
Transient Analysis,
Mon Nov 14 20:40:53 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.02513e-08,0.45,-1.21788e-07,
1.02523e-08,0.45,5.2496e-08,
1.02533e-08,0.45,-1.25933e-07,
1.02543e-08,0.45,5.23211e-08,
1.02553e-08,0.45,-1.22467e-07,
1.02563e-08,0.45,5.06122e-08,
1.02573e-08,0.45,-1.22323e-07,
1.02583e-08,0.45,5.26003e-08,
1.02593e-08,0.45,-1.21633e-07,
1.02603e-08,0.45,5.23308e-08,
1.02613e-08,0.45,-1.21645e-07,
1.02623e-08,0.45,5.34933e-08,
1.02633e-08,0.45,-1.20982e-07,
1.02643e-08,0.45,5.00335e-08,
1.02653e-08,0.45,-1.23788e-07,
1.02663e-08,0.45,5.29332e-08,
1.02673e-08,0.45,-1.24686e-07,
1.02683e-08,0.45,5.01854e-08,
1.02693e-08,0.45,-1.26708e-07,
1.02703e-08,0.45,5.21128e-08,
1.02713e-08,0.45,-1.24418e-07,
1.02723e-08,0.45,4.96492e-08,
1.02733e-08,0.45,-1.26481e-07,
1.02743e-08,0.45,4.99939e-08,
1.02753e-08,0.45,-1.23458e-07,
1.02763e-08,0.45,5.02284e-08,
1.02773e-08,0.45,-1.26399e-07,
1.02783e-08,0.45,4.95339e-08,
1.02793e-08,0.45,-1.23197e-07,
1.02803e-08,0.45,5.23915e-08,
1.02813e-08,0.45,-1.26755e-07,
1.02823e-08,0.45,5.00625e-08,
1.02833e-08,0.45,-1.2235e-07,
1.02843e-08,0.45,5.30422e-08,
1.02853e-08,0.45,-1.2724e-07,
1.02863e-08,0.45,4.97556e-08,
1.02873e-08,0.45,-1.21551e-07,
1.02883e-08,0.45,5.04822e-08,
1.02893e-08,0.45,-1.23479e-07,
1.02903e-08,0.45,5.06646e-08,
1.02913e-08,0.45,-1.22255e-07,
1.02923e-08,0.45,5.03998e-08,
1.02933e-08,0.45,-1.23259e-07,
1.02943e-08,0.45,4.93098e-08,
1.02953e-08,0.45,-1.23648e-07,
1.02963e-08,0.45,4.9927e-08,
1.02973e-08,0.45,-1.2246e-07,
1.02983e-08,0.45,4.86714e-08,
1.02993e-08,0.45,-1.23694e-07,
1.03003e-08,0.45,5.16459e-08,
1.03013e-08,0.45,-1.21087e-07,
1.03023e-08,0.45,4.84681e-08,
1.03033e-08,0.45,-1.20548e-07,
1.03043e-08,0.45,5.02443e-08,
1.03053e-08,0.45,-1.22279e-07,
1.03063e-08,0.45,5.34171e-08,
1.03073e-08,0.45,-1.20449e-07,
1.03083e-08,0.45,5.52603e-08,
1.03093e-08,0.45,-1.23278e-07,
1.03103e-08,0.45,5.05456e-08,
1.03113e-08,0.45,-1.24749e-07,
1.03123e-08,0.45,4.67642e-08,
