35:*******************************************,
Transient Analysis,
Mon Nov 14 20:39:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],v(out) [V],
1.02173e-08,0.45,1.25881e-08,
1.02183e-08,0.45,6.97425e-09,
1.02193e-08,0.45,6.14213e-09,
1.02203e-08,0.45,-3.5842e-09,
1.02213e-08,0.45,8.76984e-10,
1.02223e-08,0.45,-3.07746e-09,
1.02233e-08,0.45,1.14718e-09,
1.02243e-08,0.45,2.84055e-09,
1.02253e-08,0.45,1.24638e-08,
1.02263e-08,0.45,8.25198e-09,
1.02273e-08,0.45,6.56818e-09,
1.02283e-08,0.45,4.76764e-09,
1.02293e-08,0.45,5.66933e-09,
1.02303e-08,0.45,-2.80393e-09,
1.02313e-08,0.45,2.07785e-09,
1.02323e-08,0.45,-6.02345e-09,
1.02333e-08,0.45,-2.09288e-09,
1.02343e-08,0.45,1.39963e-09,
1.02353e-08,0.45,4.11728e-09,
1.02363e-08,0.45,2.99047e-09,
1.02373e-08,0.45,1.03916e-08,
1.02383e-08,0.45,5.40992e-09,
1.02393e-08,0.45,1.28328e-08,
1.02403e-08,0.45,9.86815e-09,
1.02413e-08,0.45,1.25683e-08,
1.02423e-08,0.45,6.27472e-09,
1.02433e-08,0.45,8.79528e-09,
1.02443e-08,0.45,4.22678e-09,
1.02453e-08,0.45,6.73087e-09,
1.02463e-08,0.45,1.40734e-09,
1.02473e-08,0.45,4.11128e-09,
1.02483e-08,0.45,-8.2503e-10,
1.02493e-08,0.45,7.64709e-09,
1.02503e-08,0.45,4.50453e-09,
1.02513e-08,0.45,1.32534e-08,
1.02523e-08,0.45,7.01996e-09,
1.02533e-08,0.45,1.21078e-08,
1.02543e-08,0.45,5.34342e-09,
1.02553e-08,0.45,4.59926e-09,
1.02563e-08,0.45,2.68452e-09,
1.02573e-08,0.45,-5.6728e-10,
1.02583e-08,0.45,-5.28621e-09,
1.02593e-08,0.45,1.86481e-09,
1.02603e-08,0.45,5.36316e-09,
1.02613e-08,0.45,1.91042e-08,
1.02623e-08,0.45,1.50046e-08,
1.02633e-08,0.45,2.02407e-08,
1.02643e-08,0.45,1.85161e-08,
1.02653e-08,0.45,2.68323e-08,
1.02663e-08,0.45,2.30897e-08,
1.02673e-08,0.45,3.29022e-08,
1.02683e-08,0.45,2.9503e-08,
1.02693e-08,0.45,1.56107e-08,
1.02703e-08,0.45,6.92588e-09,
1.02713e-08,0.45,9.00132e-09,
1.02723e-08,0.45,5.00067e-09,
1.02733e-08,0.45,6.93131e-09,
1.02743e-08,0.45,3.86514e-09,
1.02753e-08,0.45,6.9983e-09,
1.02763e-08,0.45,4.59894e-09,
1.02773e-08,0.45,6.48083e-09,
1.02783e-08,0.45,3.57152e-09,
1.02793e-08,0.45,1.03567e-08,
1.02803e-08,0.45,9.35406e-09,
1.02813e-08,0.45,2.00437e-08,
1.02823e-08,0.45,1.98047e-08,
1.02833e-08,0.45,3.10679e-08,
1.02843e-08,0.45,3.07052e-08,
1.02853e-08,0.45,4.15085e-08,
1.02863e-08,0.45,4.08135e-08,
1.02873e-08,0.45,5.17647e-08,
1.02883e-08,0.45,5.52103e-08,
1.02893e-08,0.45,6.60935e-08,
1.02903e-08,0.45,6.9576e-08,
1.02913e-08,0.45,7.6234e-08,
1.02923e-08,0.45,8.01357e-08,
1.02933e-08,0.45,8.68519e-08,
1.02943e-08,0.45,9.08255e-08,
1.02953e-08,0.45,1.02423e-07,
1.02963e-08,0.45,4.32219e-08,
1.02973e-08,0.45,2.49951e-08,
1.02983e-08,0.45,1.15685e-08,
1.02993e-08,0.45,9.02832e-09,
1.03003e-08,0.45,-2.40415e-09,
1.03013e-08,0.45,-3.5216e-09,
1.03023e-08,0.45,-1.53052e-08,
1.03033e-08,0.45,-1.36886e-08,
1.03043e-08,0.45,-2.46629e-08,
1.03053e-08,0.45,-2.4752e-08,
1.03063e-08,0.45,-4.0682e-08,
1.03073e-08,0.45,-3.97484e-08,
1.03083e-08,0.45,-5.51101e-08,
1.03093e-08,0.45,-5.51457e-08,
1.03103e-08,0.45,-7.09332e-08,
1.03113e-08,0.45,-7.09533e-08,
1.03123e-08,0.45,-8.31615e-08,
1.03133e-08,0.45,-8.32843e-08,
1.03143e-08,0.45,-9.58795e-08,
1.03153e-08,0.45,-9.58171e-08,
1.03163e-08,0.45,-1.08653e-07,
1.03173e-08,0.45,-1.08445e-07,
1.03183e-08,0.45,-1.21352e-07,
1.03193e-08,0.45,-1.26661e-07,
1.03203e-08,0.45,-1.39469e-07,
1.03213e-08,0.45,-1.44814e-07,
1.03223e-08,0.45,-1.58412e-07,
1.03233e-08,0.45,-1.62879e-07,
1.03243e-08,0.45,-1.75297e-07,
1.03253e-08,0.45,-1.66799e-07,
1.03263e-08,0.45,-1.80156e-07,
1.03273e-08,0.45,-1.82421e-07,
1.03283e-08,0.45,-1.96802e-07,
1.03293e-08,0.45,-2.00129e-07,
1.03303e-08,0.45,-2.16595e-07,
1.03313e-08,0.45,-2.20884e-07,
1.03323e-08,0.45,-8.28914e-08,
1.03333e-08,0.45,-2.97571e-08,
1.03343e-08,0.45,-9.90836e-09,
1.03353e-08,0.45,-3.28112e-09,
1.03363e-08,0.45,-3.84507e-09,
1.03373e-08,0.45,-2.32115e-09,
1.03383e-08,0.45,-5.05468e-09,
1.03393e-08,0.45,-4.1153e-09,
1.03403e-08,0.45,-7.60398e-09,
1.03413e-08,0.45,-1.97648e-09,
1.03423e-08,0.45,-3.92046e-09,
1.03433e-08,0.45,-1.28307e-09,
