31:*******************************************,
Transient Analysis,
Mon Nov 14 20:28:07 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.03703e-08,0.45,-1.1446e-07,
1.03713e-08,0.45,8.91248e-08,
1.03723e-08,0.45,-1.11908e-07,
1.03733e-08,0.45,9.42516e-08,
1.03743e-08,0.45,-1.13609e-07,
1.03753e-08,0.45,9.08091e-08,
1.03763e-08,0.45,-1.11455e-07,
1.03773e-08,0.45,9.52023e-08,
1.03783e-08,0.45,-1.13265e-07,
1.03793e-08,0.45,9.15723e-08,
1.03803e-08,0.45,-1.11511e-07,
1.03813e-08,0.45,9.53885e-08,
1.03823e-08,0.45,-1.13009e-07,
1.03833e-08,0.45,9.9335e-08,
1.03843e-08,0.45,-1.08212e-07,
1.03853e-08,0.45,1.11444e-07,
1.03863e-08,0.45,-1.17642e-07,
1.03873e-08,0.45,1.04634e-07,
1.03883e-08,0.45,-1.15051e-07,
1.03893e-08,0.45,1.06746e-07,
1.03903e-08,0.45,-1.18837e-07,
1.03913e-08,0.45,1.01646e-07,
1.03923e-08,0.45,-1.16812e-07,
1.03933e-08,0.45,9.48023e-08,
1.03943e-08,0.45,-1.19697e-07,
1.03953e-08,0.45,1.02594e-07,
1.03963e-08,0.45,-1.14835e-07,
1.03973e-08,0.45,9.85402e-08,
1.03983e-08,0.45,-1.18486e-07,
1.03993e-08,0.45,9.92069e-08,
1.04003e-08,0.45,-1.13787e-07,
1.04013e-08,0.45,1.00386e-07,
1.04023e-08,0.45,-1.16456e-07,
1.04033e-08,0.45,9.90479e-08,
1.04043e-08,0.45,-1.11999e-07,
1.04053e-08,0.45,1.00287e-07,
1.04063e-08,0.45,-1.14214e-07,
1.04073e-08,0.45,9.71015e-08,
1.04083e-08,0.45,-1.13507e-07,
1.04093e-08,0.45,9.87941e-08,
1.04103e-08,0.45,-1.15782e-07,
1.04113e-08,0.45,9.68632e-08,
1.04123e-08,0.45,-1.1324e-07,
1.04133e-08,0.45,9.85298e-08,
1.04143e-08,0.45,-1.154e-07,
1.04153e-08,0.45,9.69788e-08,
1.04163e-08,0.45,-1.13164e-07,
1.04173e-08,0.45,9.88902e-08,
1.04183e-08,0.45,-1.15265e-07,
1.04193e-08,0.45,9.76364e-08,
1.04203e-08,0.45,-1.12531e-07,
1.04213e-08,0.45,9.87116e-08,
1.04223e-08,0.45,-1.16001e-07,
1.04233e-08,0.45,9.55534e-08,
1.04243e-08,0.45,-1.13298e-07,
1.04253e-08,0.45,9.86161e-08,
1.04263e-08,0.45,-1.1488e-07,
1.04273e-08,0.45,9.60695e-08,
1.04283e-08,0.45,-1.12198e-07,
1.04293e-08,0.45,9.81632e-08,
1.04303e-08,0.45,-1.11111e-07,
1.04313e-08,0.45,9.40067e-08,
1.04323e-08,0.45,-1.14076e-07,
1.04333e-08,0.45,9.83111e-08,
1.04343e-08,0.45,-1.10956e-07,
1.04353e-08,0.45,9.39779e-08,
1.04363e-08,0.45,-1.1288e-07,
1.04373e-08,0.45,9.69861e-08,
1.04383e-08,0.45,-1.1132e-07,
1.04393e-08,0.45,9.31695e-08,
1.04403e-08,0.45,-1.13685e-07,
1.04413e-08,0.45,9.71684e-08,
1.04423e-08,0.45,-1.10765e-07,
1.04433e-08,0.45,9.318e-08,
1.04443e-08,0.45,-1.1393e-07,
1.04453e-08,0.45,9.66795e-08,
1.04463e-08,0.45,-1.09662e-07,
1.04473e-08,0.45,9.22734e-08,
1.04483e-08,0.45,-1.1312e-07,
1.04493e-08,0.45,9.6648e-08,
1.04503e-08,0.45,-1.10086e-07,
1.04513e-08,0.45,9.21929e-08,
1.04523e-08,0.45,-1.13537e-07,
1.04533e-08,0.45,9.53525e-08,
1.04543e-08,0.45,-1.12803e-07,
1.04553e-08,0.45,8.94609e-08,
1.04563e-08,0.45,-1.13467e-07,
1.04573e-08,0.45,9.46661e-08,
1.04583e-08,0.45,-1.12062e-07,
1.04593e-08,0.45,9.02019e-08,
1.04603e-08,0.45,-1.148e-07,
1.04613e-08,0.45,9.29423e-08,
1.04623e-08,0.45,-1.1155e-07,
1.04633e-08,0.45,9.00028e-08,
1.04643e-08,0.45,-1.15375e-07,
1.04653e-08,0.45,9.25822e-08,
1.04663e-08,0.45,-1.11775e-07,
1.04673e-08,0.45,9.06737e-08,
1.04683e-08,0.45,-1.14172e-07,
