26:*******************************************,
Transient Analysis,
Mon Nov 14 20:23:51 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.01993e-08,0.45,6.49573e-09,
1.02003e-08,0.45,-4.14883e-09,
1.02013e-08,0.45,5.04692e-09,
1.02023e-08,0.45,-2.99403e-09,
1.02033e-08,0.45,7.10235e-09,
1.02043e-08,0.45,-3.77564e-09,
1.02053e-08,0.45,4.80355e-09,
1.02063e-08,0.45,-2.91689e-09,
1.02073e-08,0.45,6.79329e-09,
1.02083e-08,0.45,-3.79996e-09,
1.02093e-08,0.45,4.83032e-09,
1.02103e-08,0.45,-2.69577e-09,
1.02113e-08,0.45,6.5854e-09,
1.02123e-08,0.45,-3.66284e-09,
1.02133e-08,0.45,4.74899e-09,
1.02143e-08,0.45,-2.89547e-09,
1.02153e-08,0.45,6.15405e-09,
1.02163e-08,0.45,-4.35147e-09,
1.02173e-08,0.45,4.91484e-09,
1.02183e-08,0.45,-2.90575e-09,
1.02193e-08,0.45,7.11434e-09,
1.02203e-08,0.45,-3.77511e-09,
1.02213e-08,0.45,5.24161e-09,
1.02223e-08,0.45,-2.67855e-09,
1.02233e-08,0.45,7.36215e-09,
1.02243e-08,0.45,-3.43227e-09,
1.02253e-08,0.45,4.81839e-09,
1.02263e-08,0.45,-2.71801e-09,
1.02273e-08,0.45,6.65267e-09,
1.02283e-08,0.45,-1.20638e-09,
1.02293e-08,0.45,3.654e-09,
1.02303e-08,0.45,-4.19832e-09,
1.02313e-08,0.45,6.58832e-09,
1.02323e-08,0.45,-1.40637e-09,
1.02333e-08,0.45,3.62849e-09,
1.02343e-08,0.45,-4.40193e-09,
1.02353e-08,0.45,6.65359e-09,
1.02363e-08,0.45,-1.58306e-09,
1.02373e-08,0.45,3.75347e-09,
1.02383e-08,0.45,-4.54449e-09,
1.02393e-08,0.45,6.52347e-09,
1.02403e-08,0.45,-1.833e-09,
1.02413e-08,0.45,2.95587e-09,
1.02423e-08,0.45,-4.61852e-09,
1.02433e-08,0.45,6.24688e-09,
1.02443e-08,0.45,-2.36991e-09,
1.02453e-08,0.45,2.80623e-09,
1.02463e-08,0.45,-4.71808e-09,
1.02473e-08,0.45,6.22081e-09,
1.02483e-08,0.45,-2.18411e-09,
1.02493e-08,0.45,2.96242e-09,
1.02503e-08,0.45,-4.55882e-09,
1.02513e-08,0.45,6.68637e-09,
1.02523e-08,0.45,-1.23134e-09,
1.02533e-08,0.45,4.12909e-09,
1.02543e-08,0.45,-4.41351e-09,
1.02553e-08,0.45,6.7817e-09,
1.02563e-08,0.45,-1.2905e-09,
1.02573e-08,0.45,4.49064e-09,
1.02583e-08,0.45,-4.27775e-09,
1.02593e-08,0.45,6.85173e-09,
1.02603e-08,0.45,-1.15246e-09,
1.02613e-08,0.45,4.46854e-09,
1.02623e-08,0.45,-4.04745e-09,
1.02633e-08,0.45,6.87907e-09,
1.02643e-08,0.45,-1.12113e-09,
1.02653e-08,0.45,4.67379e-09,
1.02663e-08,0.45,-3.80565e-09,
1.02673e-08,0.45,7.15504e-09,
1.02683e-08,0.45,-1.02907e-09,
1.02693e-08,0.45,4.87926e-09,
1.02703e-08,0.45,-3.38529e-09,
1.02713e-08,0.45,6.41333e-09,
1.02723e-08,0.45,-9.25547e-10,
1.02733e-08,0.45,4.17665e-09,
1.02743e-08,0.45,-3.3321e-09,
1.02753e-08,0.45,6.40546e-09,
1.02763e-08,0.45,-8.48983e-10,
1.02773e-08,0.45,4.56662e-09,
1.02783e-08,0.45,-3.36418e-09,
1.02793e-08,0.45,6.4063e-09,
1.02803e-08,0.45,-1.02592e-09,
1.02813e-08,0.45,4.74317e-09,
1.02823e-08,0.45,-3.4637e-09,
1.02833e-08,0.45,6.488e-09,
1.02843e-08,0.45,-1.26731e-09,
1.02853e-08,0.45,4.74434e-09,
1.02863e-08,0.45,-3.78382e-09,
1.02873e-08,0.45,7.47681e-09,
1.02883e-08,0.45,-8.58651e-10,
1.02893e-08,0.45,4.98962e-09,
1.02903e-08,0.45,-3.36879e-09,
1.02913e-08,0.45,7.94783e-09,
1.02923e-08,0.45,-1.12865e-09,
1.02933e-08,0.45,4.75129e-09,
1.02943e-08,0.45,-3.4781e-09,
1.02953e-08,0.45,8.04918e-09,
1.02963e-08,0.45,-1.39546e-09,
1.02973e-08,0.45,4.95004e-09,
1.02983e-08,0.45,-3.18878e-09,
