9:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:08:19 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.44,0.5,0.939359,
0.441,0.5,0.938717,
0.442,0.5,0.938066,
0.443,0.5,0.937406,
0.444,0.5,0.936736,
0.445,0.5,0.936058,
0.446,0.5,0.935369,
0.447,0.5,0.934671,
0.448,0.5,0.933963,
0.449,0.5,0.933245,
0.45,0.5,0.932516,
0.451,0.5,0.931776,
0.452,0.5,0.931024,
0.453,0.5,0.930262,
0.454,0.5,0.929488,
0.455,0.5,0.928701,
0.456,0.5,0.927903,
0.457,0.5,0.927091,
0.458,0.5,0.926267,
0.459,0.5,0.925429,
0.46,0.5,0.924577,
0.461,0.5,0.92371,
0.462,0.5,0.922829,
0.463,0.5,0.921933,
0.464,0.5,0.921021,
0.465,0.5,0.920094,
0.466,0.5,0.919149,
0.467,0.5,0.918187,
0.468,0.5,0.917208,
0.469,0.5,0.91621,
0.47,0.5,0.915193,
0.471,0.5,0.914156,
0.472,0.5,0.9131,
0.473,0.5,0.912022,
0.474,0.5,0.910922,
0.475,0.5,0.909799,
0.476,0.5,0.908653,
0.477,0.5,0.907483,
0.478,0.5,0.906287,
0.479,0.5,0.905064,
0.48,0.5,0.903814,
0.481,0.5,0.902535,
0.482,0.5,0.901227,
0.483,0.5,0.899887,
0.484,0.5,0.898514,
0.485,0.5,0.897108,
0.486,0.5,0.895665,
0.487,0.5,0.894185,
0.488,0.5,0.892666,
0.489,0.5,0.891106,
0.49,0.5,0.889503,
0.491,0.5,0.887854,
0.492,0.5,0.886157,
0.493,0.5,0.88441,
0.494,0.5,0.88261,
0.495,0.5,0.880753,
0.496,0.5,0.878837,
0.497,0.5,0.876859,
0.498,0.5,0.874814,
0.499,0.5,0.872699,
0.5,0.5,0.870509,
0.501,0.5,0.86824,
0.502,0.5,0.865888,
0.503,0.5,0.863447,
0.504,0.5,0.860912,
0.505,0.5,0.858277,
0.506,0.5,0.855537,
0.507,0.5,0.852686,
0.508,0.5,0.849717,
0.509,0.5,0.846626,
0.51,0.5,0.843405,
0.511,0.5,0.84005,
0.512,0.5,0.836555,
0.513,0.5,0.832917,
0.514,0.5,0.829131,
0.515,0.5,0.825196,
0.516,0.5,0.821108,
0.517,0.5,0.81687,
0.518,0.5,0.812481,
0.519,0.5,0.807945,
0.52,0.5,0.803264,
0.521,0.5,0.798442,
0.522,0.5,0.793486,
0.523,0.5,0.788401,
0.524,0.5,0.783192,
0.525,0.5,0.777867,
0.526,0.5,0.772433,
0.527,0.5,0.766895,
0.528,0.5,0.761259,
0.529,0.5,0.755534,
0.53,0.5,0.749723,
0.531,0.5,0.743833,
0.532,0.5,0.73787,
0.533,0.5,0.731837,
0.534,0.5,0.725741,
0.535,0.5,0.719585,
0.536,0.5,0.713374,
0.537,0.5,0.707111,
0.538,0.5,0.7008,
0.539,0.5,0.694445,
0.54,0.5,0.688049,
0.541,0.5,0.681615,
0.542,0.5,0.675146,
0.543,0.5,0.668645,
0.544,0.5,0.662114,
0.545,0.5,0.655555,
0.546,0.5,0.648971,
0.547,0.5,0.642365,
0.548,0.5,0.635738,
0.549,0.5,0.629092,
0.55,0.5,0.622429,
0.551,0.5,0.615751,
0.552,0.5,0.60906,
0.553,0.5,0.602357,
0.554,0.5,0.595644,
0.555,0.5,0.588923,
0.556,0.5,0.582196,
0.557,0.5,0.575463,
0.558,0.5,0.568726,
0.559,0.5,0.561986,
0.56,0.5,0.555246,
0.561,0.5,0.548506,
0.562,0.5,0.541768,
0.563,0.5,0.535033,
0.564,0.5,0.528302,
0.565,0.5,0.521577,
0.566,0.5,0.51486,
0.567,0.5,0.50815,
0.568,0.5,0.501451,
0.569,0.5,0.494763,
0.57,0.5,0.488088,
0.571,0.5,0.481426,
0.572,0.5,0.47478,
0.573,0.5,0.468151,
0.574,0.5,0.46154,
0.575,0.5,0.454949,
0.576,0.5,0.448379,
0.577,0.5,0.441832,
0.578,0.5,0.435309,
0.579,0.5,0.428813,
0.58,0.5,0.422345,
0.581,0.5,0.415907,
0.582,0.5,0.4095,
0.583,0.5,0.403127,
0.584,0.5,0.39679,
0.585,0.5,0.39049,
0.586,0.5,0.38423,
0.587,0.5,0.378013,
0.588,0.5,0.371841,
0.589,0.5,0.365716,
0.59,0.5,0.359641,
0.591,0.5,0.35362,
0.592,0.5,0.347655,
0.593,0.5,0.34175,
0.594,0.5,0.335907,
0.595,0.5,0.330131,
0.596,0.5,0.324425,
0.597,0.5,0.318793,
0.598,0.5,0.313238,
0.599,0.5,0.307765,
0.6,0.5,0.302376,
