14:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:11:44 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.603,0.5,0.0889075,
0.604,0.5,0.0876678,
0.605,0.5,0.0864456,
0.606,0.5,0.0852407,
0.607,0.5,0.0840525,
0.608,0.5,0.0828809,
0.609,0.5,0.0817255,
0.61,0.5,0.0805859,
0.611,0.5,0.0794618,
0.612,0.5,0.078353,
0.613,0.5,0.0772591,
0.614,0.5,0.0761799,
0.615,0.5,0.075115,
0.616,0.5,0.0740642,
0.617,0.5,0.0730273,
0.618,0.5,0.072004,
0.619,0.5,0.0709941,
0.62,0.5,0.0699972,
0.621,0.5,0.0690133,
0.622,0.5,0.0680421,
0.623,0.5,0.0670832,
0.624,0.5,0.0661367,
0.625,0.5,0.0652021,
0.626,0.5,0.0642795,
0.627,0.5,0.0633684,
0.628,0.5,0.0624688,
0.629,0.5,0.0615805,
0.63,0.5,0.0607033,
0.631,0.5,0.059837,
0.632,0.5,0.0589815,
0.633,0.5,0.0581366,
0.634,0.5,0.0573021,
0.635,0.5,0.0564779,
0.636,0.5,0.0556638,
0.637,0.5,0.0548597,
0.638,0.5,0.0540654,
0.639,0.5,0.0532809,
0.64,0.5,0.0525058,
0.641,0.5,0.0517403,
0.642,0.5,0.050984,
0.643,0.5,0.0502369,
0.644,0.5,0.0494989,
0.645,0.5,0.0487697,
0.646,0.5,0.0480494,
0.647,0.5,0.0473378,
0.648,0.5,0.0466348,
0.649,0.5,0.0459403,
0.65,0.5,0.0452541,
0.651,0.5,0.0445762,
0.652,0.5,0.0439064,
0.653,0.5,0.0432447,
0.654,0.5,0.042591,
0.655,0.5,0.0419452,
0.656,0.5,0.0413071,
0.657,0.5,0.0406767,
0.658,0.5,0.040054,
0.659,0.5,0.0394387,
0.66,0.5,0.0388308,
0.661,0.5,0.0382303,
0.662,0.5,0.0376371,
0.663,0.5,0.037051,
0.664,0.5,0.0364721,
0.665,0.5,0.0359001,
0.666,0.5,0.0353351,
0.667,0.5,0.034777,
0.668,0.5,0.0342257,
0.669,0.5,0.0336811,
0.67,0.5,0.0331432,
0.671,0.5,0.0326119,
0.672,0.5,0.0320871,
0.673,0.5,0.0315688,
0.674,0.5,0.0310569,
0.675,0.5,0.0305513,
0.676,0.5,0.030052,
0.677,0.5,0.0295589,
0.678,0.5,0.0290719,
0.679,0.5,0.0285911,
0.68,0.5,0.0281163,
0.681,0.5,0.0276474,
0.682,0.5,0.0271845,
0.683,0.5,0.0267275,
0.684,0.5,0.0262762,
0.685,0.5,0.0258307,
0.686,0.5,0.025391,
0.687,0.5,0.0249569,
0.688,0.5,0.0245284,
0.689,0.5,0.0241054,
0.69,0.5,0.023688,
0.691,0.5,0.023276,
0.692,0.5,0.0228694,
0.693,0.5,0.0224682,
0.694,0.5,0.0220723,
0.695,0.5,0.0216816,
0.696,0.5,0.0212962,
0.697,0.5,0.020916,
0.698,0.5,0.0205409,
0.699,0.5,0.0201708,
0.7,0.5,0.0198059,
0.701,0.5,0.0194459,
0.702,0.5,0.0190908,
0.703,0.5,0.0187407,
0.704,0.5,0.0183955,
0.705,0.5,0.018055,
0.706,0.5,0.0177194,
0.707,0.5,0.0173885,
0.708,0.5,0.0170623,
0.709,0.5,0.0167408,
0.71,0.5,0.0164239,
0.711,0.5,0.0161115,
0.712,0.5,0.0158038,
0.713,0.5,0.0155005,
0.714,0.5,0.0152017,
0.715,0.5,0.0149073,
0.716,0.5,0.0146172,
0.717,0.5,0.0143316,
0.718,0.5,0.0140502,
0.719,0.5,0.0137731,
0.72,0.5,0.0135002,
0.721,0.5,0.0132315,
0.722,0.5,0.012967,
0.723,0.5,0.0127066,
0.724,0.5,0.0124502,
0.725,0.5,0.0121979,
0.726,0.5,0.0119496,
0.727,0.5,0.0117052,
0.728,0.5,0.0114648,
0.729,0.5,0.0112282,
0.73,0.5,0.0109955,
0.731,0.5,0.0107666,
0.732,0.5,0.0105415,
0.733,0.5,0.0103201,
0.734,0.5,0.0101023,
0.735,0.5,0.00988828,
0.736,0.5,0.00967784,
0.737,0.5,0.00947097,
0.738,0.5,0.00926764,
0.739,0.5,0.00906781,
0.74,0.5,0.00887145,
0.741,0.5,0.00867852,
0.742,0.5,0.00848897,
0.743,0.5,0.00830277,
0.744,0.5,0.00811989,
0.745,0.5,0.00794028,
0.746,0.5,0.00776391,
0.747,0.5,0.00759073,
0.748,0.5,0.00742072,
0.749,0.5,0.00725382,
0.75,0.5,0.00709001,
0.751,0.5,0.00692925,
0.752,0.5,0.0067715,
0.753,0.5,0.00661672,
0.754,0.5,0.00646487,
0.755,0.5,0.00631591,
0.756,0.5,0.00616981,
0.757,0.5,0.00602653,
0.758,0.5,0.00588603,
0.759,0.5,0.00574828,
0.76,0.5,0.00561323,
0.761,0.5,0.00548085,
0.762,0.5,0.00535111,
0.763,0.5,0.00522395,
0.764,0.5,0.00509936,
0.765,0.5,0.00497728,
0.766,0.5,0.00485769,
0.767,0.5,0.00474054,
0.768,0.5,0.00462581,
0.769,0.5,0.00451344,
0.77,0.5,0.00440341,
0.771,0.5,0.00429569,
0.772,0.5,0.00419022,
0.773,0.5,0.00408699,
0.774,0.5,0.00398595,
0.775,0.5,0.00388706,
0.776,0.5,0.0037903,
0.777,0.5,0.00369562,
0.778,0.5,0.003603,
0.779,0.5,0.00351239,
0.78,0.5,0.00342377,
0.781,0.5,0.0033371,
0.782,0.5,0.00325234,
0.783,0.5,0.00316946,
0.784,0.5,0.00308844,
0.785,0.5,0.00300923,
0.786,0.5,0.0029318,
0.787,0.5,0.00285612,
0.788,0.5,0.00278216,
0.789,0.5,0.00270989,
0.79,0.5,0.00263928,
0.791,0.5,0.00257029,
0.792,0.5,0.00250289,
0.793,0.5,0.00243706,
0.794,0.5,0.00237276,
0.795,0.5,0.00230996,
0.796,0.5,0.00224864,
0.797,0.5,0.00218877,
0.798,0.5,0.00213031,
0.799,0.5,0.00207324,
0.8,0.5,0.00201753,
0.801,0.5,0.00196315,
0.802,0.5,0.00191008,
0.803,0.5,0.00185829,
0.804,0.5,0.00180775,
0.805,0.5,0.00175844,
0.806,0.5,0.00171033,
0.807,0.5,0.00166339,
0.808,0.5,0.00161761,
0.809,0.5,0.00157296,
0.81,0.5,0.00152941,
0.811,0.5,0.00148693,
0.812,0.5,0.00144552,
0.813,0.5,0.00140513,
0.814,0.5,0.00136576,
0.815,0.5,0.00132738,
0.816,0.5,0.00128996,
0.817,0.5,0.00125349,
0.818,0.5,0.00121794,
0.819,0.5,0.00118329,
0.82,0.5,0.00114953,
0.821,0.5,0.00111664,
0.822,0.5,0.00108458,
0.823,0.5,0.00105336,
0.824,0.5,0.00102293,
0.825,0.5,0.000993301,
0.826,0.5,0.000964437,
0.827,0.5,0.000936326,
0.828,0.5,0.000908949,
0.829,0.5,0.00088229,
0.83,0.5,0.000856332,
0.831,0.5,0.000831059,
0.832,0.5,0.000806454,
0.833,0.5,0.000782502,
0.834,0.5,0.000759188,
0.835,0.5,0.000736497,
0.836,0.5,0.000714413,
0.837,0.5,0.000692922,
0.838,0.5,0.000672011,
0.839,0.5,0.000651665,
0.84,0.5,0.000631871,
0.841,0.5,0.000612615,
0.842,0.5,0.000593885,
0.843,0.5,0.000575668,
0.844,0.5,0.000557951,
0.845,0.5,0.000540723,
0.846,0.5,0.000523971,
0.847,0.5,0.000507683,
0.848,0.5,0.000491849,
0.849,0.5,0.000476457,
0.85,0.5,0.000461496,
0.851,0.5,0.000446956,
0.852,0.5,0.000432826,
0.853,0.5,0.000419096,
0.854,0.5,0.000405756,
0.855,0.5,0.000392796,
0.856,0.5,0.000380207,
0.857,0.5,0.00036798,
0.858,0.5,0.000356104,
0.859,0.5,0.000344573,
0.86,0.5,0.000333375,
0.861,0.5,0.000322505,
0.862,0.5,0.000311951,
0.863,0.5,0.000301708,
0.864,0.5,0.000291766,
0.865,0.5,0.000282118,
0.866,0.5,0.000272757,
0.867,0.5,0.000263675,
0.868,0.5,0.000254864,
0.869,0.5,0.000246318,
0.87,0.5,0.000238029,
0.871,0.5,0.000229991,
0.872,0.5,0.000222198,
0.873,0.5,0.000214642,
0.874,0.5,0.000207318,
0.875,0.5,0.000200219,
0.876,0.5,0.000193339,
0.877,0.5,0.000186672,
0.878,0.5,0.000180213,
0.879,0.5,0.000173956,
0.88,0.5,0.000167895,
0.881,0.5,0.000162025,
0.882,0.5,0.000156341,
0.883,0.5,0.000150837,
0.884,0.5,0.000145509,
0.885,0.5,0.000140352,
0.886,0.5,0.000135361,
0.887,0.5,0.00013053,
0.888,0.5,0.000125857,
0.889,0.5,0.000121336,
0.89,0.5,0.000116962,
0.891,0.5,0.000112733,
0.892,0.5,0.000108642,
0.893,0.5,0.000104688,
0.894,0.5,0.000100864,
0.895,0.5,9.71687e-05,
0.896,0.5,9.3597e-05,
0.897,0.5,9.01455e-05,
0.898,0.5,8.68108e-05,
0.899,0.5,8.35893e-05,
0.9,0.5,8.04775e-05,
0.901,0.5,7.74723e-05,
0.902,0.5,7.45703e-05,
0.903,0.5,7.17685e-05,
0.904,0.5,6.90637e-05,
0.905,0.5,6.64529e-05,
0.906,0.5,6.39334e-05,
0.907,0.5,6.15021e-05,
0.908,0.5,5.91565e-05,
0.909,0.5,5.68937e-05,
0.91,0.5,5.47111e-05,
0.911,0.5,5.26063e-05,
0.912,0.5,5.05767e-05,
0.913,0.5,4.862e-05,
0.914,0.5,4.67337e-05,
0.915,0.5,4.49156e-05,
0.916,0.5,4.31634e-05,
0.917,0.5,4.14751e-05,
0.918,0.5,3.98485e-05,
0.919,0.5,3.82816e-05,
0.92,0.5,3.67723e-05,
0.921,0.5,3.53189e-05,
0.922,0.5,3.39193e-05,
0.923,0.5,3.25718e-05,
0.924,0.5,3.12746e-05,
0.925,0.5,3.0026e-05,
0.926,0.5,2.88243e-05,
0.927,0.5,2.7668e-05,
0.928,0.5,2.65554e-05,
0.929,0.5,2.54851e-05,
0.93,0.5,2.44556e-05,
0.931,0.5,2.34654e-05,
0.932,0.5,2.25131e-05,
0.933,0.5,2.15975e-05,
0.934,0.5,2.07172e-05,
0.935,0.5,1.98709e-05,
0.936,0.5,1.90575e-05,
0.937,0.5,1.82758e-05,
0.938,0.5,1.75246e-05,
0.939,0.5,1.68028e-05,
0.94,0.5,1.61093e-05,
0.941,0.5,1.54431e-05,
0.942,0.5,1.48033e-05,
