7:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:06:41 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.718,0.5,0.0179954,
0.719,0.5,0.0176745,
0.72,0.5,0.017358,
0.721,0.5,0.0170458,
0.722,0.5,0.0167379,
0.723,0.5,0.0164342,
0.724,0.5,0.0161348,
0.725,0.5,0.0158395,
0.726,0.5,0.0155484,
0.727,0.5,0.0152614,
0.728,0.5,0.0149784,
0.729,0.5,0.0146995,
0.73,0.5,0.0144246,
0.731,0.5,0.0141537,
0.732,0.5,0.0138867,
0.733,0.5,0.0136236,
0.734,0.5,0.0133644,
0.735,0.5,0.013109,
0.736,0.5,0.0128573,
0.737,0.5,0.0126095,
0.738,0.5,0.0123653,
0.739,0.5,0.0121249,
0.74,0.5,0.0118881,
0.741,0.5,0.0116549,
0.742,0.5,0.0114253,
0.743,0.5,0.0111993,
0.744,0.5,0.0109768,
0.745,0.5,0.0107577,
0.746,0.5,0.0105422,
0.747,0.5,0.01033,
0.748,0.5,0.0101212,
0.749,0.5,0.00991579,
0.75,0.5,0.00971367,
0.751,0.5,0.00951483,
0.752,0.5,0.00931924,
0.753,0.5,0.00912686,
0.754,0.5,0.00893767,
0.755,0.5,0.00875162,
0.756,0.5,0.00856867,
0.757,0.5,0.00838881,
0.758,0.5,0.00821199,
0.759,0.5,0.00803819,
0.76,0.5,0.00786736,
0.761,0.5,0.00769947,
0.762,0.5,0.00753449,
0.763,0.5,0.00737239,
0.764,0.5,0.00721313,
0.765,0.5,0.00705669,
0.766,0.5,0.00690301,
0.767,0.5,0.00675208,
0.768,0.5,0.00660386,
0.769,0.5,0.00645832,
0.77,0.5,0.00631541,
0.771,0.5,0.00617512,
0.772,0.5,0.0060374,
0.773,0.5,0.00590223,
0.774,0.5,0.00576957,
0.775,0.5,0.00563939,
0.776,0.5,0.00551165,
0.777,0.5,0.00538632,
0.778,0.5,0.00526337,
0.779,0.5,0.00514277,
0.78,0.5,0.00502449,
0.781,0.5,0.00490849,
0.782,0.5,0.00479474,
0.783,0.5,0.0046832,
0.784,0.5,0.00457386,
0.785,0.5,0.00446667,
0.786,0.5,0.00436161,
0.787,0.5,0.00425864,
0.788,0.5,0.00415774,
0.789,0.5,0.00405885,
0.79,0.5,0.00396198,
0.791,0.5,0.00386707,
0.792,0.5,0.00377411,
0.793,0.5,0.00368304,
0.794,0.5,0.00359387,
0.795,0.5,0.00350654,
0.796,0.5,0.00342103,
0.797,0.5,0.00333731,
0.798,0.5,0.00325535,
0.799,0.5,0.00317512,
0.8,0.5,0.0030966,
0.801,0.5,0.00301975,
0.802,0.5,0.00294455,
0.803,0.5,0.00287097,
0.804,0.5,0.00279898,
0.805,0.5,0.00272855,
0.806,0.5,0.00265966,
0.807,0.5,0.00259228,
0.808,0.5,0.00252639,
0.809,0.5,0.00246195,
0.81,0.5,0.00239894,
0.811,0.5,0.00233734,
0.812,0.5,0.00227712,
0.813,0.5,0.00221825,
0.814,0.5,0.00216072,
0.815,0.5,0.00210449,
0.816,0.5,0.00204954,
0.817,0.5,0.00199584,
0.818,0.5,0.00194338,
0.819,0.5,0.00189213,
0.82,0.5,0.00184207,
0.821,0.5,0.00179317,
0.822,0.5,0.00174541,
0.823,0.5,0.00169877,
