6:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:14:14 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0.395,2.42274e-09,
0.396,2.32865e-09,
0.397,2.23814e-09,
0.398,2.15109e-09,
0.399,2.06735e-09,
0.4,1.98681e-09,
0.401,1.90934e-09,
0.402,1.83485e-09,
0.403,1.7632e-09,
0.404,1.6943e-09,
0.405,1.62805e-09,
0.406,1.56434e-09,
0.407,1.50308e-09,
0.408,1.44419e-09,
0.409,1.38756e-09,
0.41,1.33311e-09,
0.411,1.28077e-09,
0.412,1.23045e-09,
0.413,1.18208e-09,
0.414,1.13558e-09,
0.415,1.09088e-09,
0.416,1.04792e-09,
0.417,1.00662e-09,
0.418,9.66928e-10,
0.419,9.28778e-10,
0.42,8.92114e-10,
0.421,8.56877e-10,
0.422,8.23014e-10,
0.423,7.9047e-10,
0.424,7.59199e-10,
0.425,7.29147e-10,
0.426,7.00272e-10,
0.427,6.72525e-10,
0.428,6.45865e-10,
0.429,6.20249e-10,
0.43,5.95638e-10,
0.431,5.71991e-10,
0.432,5.49274e-10,
0.433,5.27448e-10,
0.434,5.06481e-10,
0.435,4.86338e-10,
0.436,4.66988e-10,
0.437,4.484e-10,
0.438,4.30545e-10,
0.439,4.13393e-10,
0.44,3.96919e-10,
0.441,3.81094e-10,
0.442,3.65896e-10,
0.443,3.51297e-10,
0.444,3.37276e-10,
0.445,3.23809e-10,
0.446,3.10876e-10,
0.447,2.98455e-10,
0.448,2.86526e-10,
0.449,2.7507e-10
