8:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:34:47 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0.4,1.04165e-09,
0.401,1.00034e-09,
0.402,9.60637e-10,
0.403,9.22487e-10,
0.404,8.85827e-10,
0.405,8.50601e-10,
0.406,8.16754e-10,
0.407,7.84233e-10,
0.408,7.52986e-10,
0.409,7.22967e-10,
0.41,6.94126e-10,
0.411,6.66421e-10,
0.412,6.39804e-10,
0.413,6.14237e-10,
0.414,5.89677e-10,
0.415,5.66086e-10,
0.416,5.43427e-10,
0.417,5.21663e-10,
0.418,5.0076e-10,
0.419,4.80684e-10,
0.42,4.61403e-10,
0.421,4.42887e-10,
0.422,4.25104e-10,
0.423,4.08028e-10,
0.424,3.9163e-10,
0.425,3.75885e-10,
0.426,3.60765e-10,
0.427,3.46247e-10,
0.428,3.32307e-10,
0.429,3.18924e-10,
0.43,3.06073e-10,
0.431,2.93736e-10,
0.432,2.81891e-10,
0.433,2.7052e-10,
0.434,2.59603e-10,
0.435,2.49123e-10,
0.436,2.39063e-10,
0.437,2.29405e-10,
0.438,2.20135e-10,
0.439,2.11236e-10,
0.44,2.02694e-10,
0.441,1.94496e-10,
0.442,1.86626e-10,
0.443,1.79073e-10,
0.444,1.71823e-10,
0.445,1.64865e-10,
0.446,1.58187e-10,
0.447,1.51778e-10,
0.448,1.45627e-10,
0.449,1.39725e-10
